"sample","iM","Val"
"p1k_00803","CpxR",-9.34376904491744
"p1k_00359","CpxR",-9.38170872841767
"p1k_00076","CpxR",-6.11201763081988
"p1k_00787","CpxR",-9.03481630509578
"p1k_00694","CpxR",-9.92535892963748
"p1k_00588","CpxR",-9.67064016362229
"p1k_00396","CpxR",-7.75155366249265
"p1k_00979","CpxR",-5.864638223187
"p1k_00264","CpxR",-6.53504654681757
"p1k_00174","CpxR",-9.19054697409125
"p1k_00983","CpxR",-6.54537981449478
"p1k_00775","CpxR",-9.04481877032311
"p1k_00201","CpxR",-9.55050093083716
"p1k_00786","CpxR",-10.1776902905636
"p1k_00065","CpxR",-5.82230628069975
"p1k_00177","CpxR",-8.85430142898072
"p1k_00239","CpxR",-5.77039687179467
"p1k_00309","CpxR",-9.47671463344676
"p1k_00847","CpxR",-6.03040500273455
"p1k_00945","CpxR",-6.18059976096343
"p1k_00442","CpxR",-8.41659492451252
"p1k_00229","CpxR",-6.11030854000027
"p1k_00770","CpxR",-9.70056320946933
"p1k_00164","CpxR",-8.78753728960494
"p1k_00614","CpxR",-5.9695927664153
"p1k_00008","CpxR",-6.02547498474385
"p1k_00436","CpxR",-9.60664842252888
"p1k_00726","CpxR",-9.39695078122496
"p1k_01049","CpxR",-6.66403516069612
"p1k_00703","CpxR",-6.22462966155542
"p1k_00481","CpxR",-5.8484413273229
"p1k_00304","CpxR",-8.95426456309304
"p1k_00470","CpxR",-5.46135540065671
"p1k_00199","CpxR",-5.95288697373743
"p1k_00114","CpxR",-6.00916883242864
"p1k_01002","CpxR",-9.72813326671776
"p1k_00242","CpxR",-5.99025456587041
"p1k_01029","CpxR",-6.10127193648655
"p1k_00873","CpxR",-6.07361647362897
"p1k_01031","CpxR",-9.82838066456181
"starve_series__t08_starve","CpxR",-9.57338295018443
"p1k_00452","CpxR",-5.58921177237722
"p1k_00398","CpxR",-9.84169419037954
"p1k_00683","CpxR",-6.31067273493746
"p1k_00689","CpxR",-6.09168058738484
"p1k_00881","CpxR",-9.91949081825714
"p1k_00080","CpxR",-8.99679831030745
"p1k_00420","CpxR",-9.03873408258711
"p1k_01011","CpxR",-5.91550867791119
"p1k_00331","CpxR",-9.44142280566683
"p1k_00444","CpxR",-6.23861992200915
"p1k_00053","CpxR",-6.13239560697635
"p1k_00528","CpxR",-5.41838985507192
"p1k_00843","CpxR",-5.80019648851599
"p1k_00695","CpxR",-6.44172073209086
"p1k_00306","CpxR",-9.9884391637318
"p1k_00596","CpxR",-6.00653435790638
"p1k_00050","CpxR",-6.10066986414576
"p1k_00554","CpxR",-7.11266130297893
"p1k_00246","CpxR",-5.80782837047129
"p1k_01027","CpxR",-6.16758305153183
"p1k_00071","CpxR",-6.68755378714064
"p1k_00157","CpxR",-5.52698111366829
"p1k_00350","CpxR",-9.64382564310947
"p1k_00730","CpxR",-9.34320901510907
"p1k_00745","CpxR",-5.81647640396347
"p1k_00964","CpxR",-6.05436708763316
"p1k_00406","CpxR",-9.51692599923287
"p1k_00186","CpxR",-6.48826126603409
"p1k_00098","CpxR",-5.72324590439566
