"sample","iM","Val"
"p1k_00981","Fatty Acid",-2.77872374807644
"p1k_00702","Fatty Acid",-4.07957220571306
"starve_series__t18_starve","Fatty Acid",-1.92604666799488
"p1k_00138","Fatty Acid",-6.42021640338319
"p1k_00273","Fatty Acid",-4.86679316422175
"p1k_00743","Fatty Acid",-4.41015803292575
"p1k_00054","Fatty Acid",-4.02563041143989
"p1k_00915","Fatty Acid",-4.44104514951587
"p1k_00254","Fatty Acid",-3.26212225449239
"p1k_00480","Fatty Acid",-6.42021640338319
"p1k_00910","Fatty Acid",-5.09080478559475
"p1k_00508","Fatty Acid",-4.09745888524035
"p1k_00470","Fatty Acid",-5.48122855050279
"p1k_00970","Fatty Acid",-2.98658338571566
"p1k_00928","Fatty Acid",-4.87147473769319
"p1k_00205","Fatty Acid",-5.1833610751839
"p1k_00316","Fatty Acid",-5.13057441781781
"p1k_00842","Fatty Acid",-4.44365425333457
"p1k_00840","Fatty Acid",-6.42021640338319
"p1k_00675","Fatty Acid",-4.20785209066698
"p1k_00752","Fatty Acid",-5.76777997451001
"p1k_00967","Fatty Acid",-2.80933480474905
"p1k_01027","Fatty Acid",-2.85096568148967
"p1k_01026","Fatty Acid",-3.88135729262414
"p1k_00200","Fatty Acid",-6.42021640338319
"p1k_00253","Fatty Acid",-3.25716056075968
"p1k_00014","Fatty Acid",-4.51486285643401
"p1k_00572","Fatty Acid",-3.55233353961394
"p1k_00190","Fatty Acid",-5.98151025034997
"p1k_00700","Fatty Acid",-4.33885873417799
"p1k_00199","Fatty Acid",-6.42021640338319
"p1k_00357","Fatty Acid",-4.42639390655781
"p1k_00049","Fatty Acid",-4.22742564884031
"p1k_00302","Fatty Acid",-5.78686142733483
"p1k_00445","Fatty Acid",-6.42021640338319
"p1k_00162","Fatty Acid",-4.74689539673341
"p1k_00926","Fatty Acid",-4.25115275058619
"p1k_00075","Fatty Acid",-4.93687275157439
"p1k_00354","Fatty Acid",-4.16458263913219
"p1k_00177","Fatty Acid",-4.73335463606658
"p1k_00432","Fatty Acid",-6.42021640338319
"p1k_00206","Fatty Acid",-5.23426300594201
"p1k_00558","Fatty Acid",-4.92993212429276
"p1k_00215","Fatty Acid",-4.28195826233775
"p1k_00534","Fatty Acid",-3.71781526433506
"p1k_00612","Fatty Acid",-6.42021640338319
"p1k_00874","Fatty Acid",-3.04182853497852
"p1k_00553","Fatty Acid",-3.69982720321412
"p1k_00687","Fatty Acid",-4.27135534529416
"p1k_00404","Fatty Acid",-6.42021640338319
"p1k_00535","Fatty Acid",-3.71929608205939
"p1k_00107","Fatty Acid",-2.42707538418357
"p1k_00935","Fatty Acid",-3.84055186736804
"p1k_00188","Fatty Acid",-6.42021640338319
"p1k_00775","Fatty Acid",-5.40024134979511
"p1k_00865","Fatty Acid",-3.06133349541361
"p1k_00759","Fatty Acid",-6.42021640338319
"p1k_00314","Fatty Acid",-6.42021640338319
"p1k_00853","Fatty Acid",-2.61453250235501
"p1k_00641","Fatty Acid",-4.23331156315306
"p1k_00781","Fatty Acid",-5.91939999556349
"p1k_00873","Fatty Acid",-3.10319525402195
